,zipcode,city,states,revenue_per_zipcode,national_num_esta
13302,47263,NEW POINT,IN,630,15
13303,47264,NORMAN,IN,1297,30
13304,47265,NORTH VERNON,IN,11038,325
13305,47272,SAINT PAUL,IN,6300,40
13306,47273,SCIPIO,IN,1330,30
13307,47274,SEYMOUR,IN,15847,1005
13308,47280,TAYLORSVILLE,IN,1834,45
13309,47282,VERNON,IN,1255,30
13310,47283,WESTPORT,IN,5631,35
13311,47302,MUNCIE,IN,10602,475
13312,47303,MUNCIE,IN,18564,990
13313,47304,MUNCIE,IN,19698,840
13314,47305,MUNCIE,IN,8199,205
13315,47320,ALBANY,IN,8046,100
13316,47324,BOSTON,IN,670,15
13317,47326,BRYANT,IN,10134,65
13318,47327,CAMBRIDGE CITY,IN,13410,185
13319,47330,CENTERVILLE,IN,1536,45
13320,47331,CONNERSVILLE,IN,16816,595
13321,47334,DALEVILLE,IN,9206,185
13322,47335,DUBLIN,IN,640,15
13323,47336,DUNKIRK,IN,5759,40
13324,47337,DUNREITH,IN,630,15
13325,47338,EATON,IN,6623,55
13326,47340,FARMLAND,IN,1255,45
13327,47341,FOUNTAIN CITY,IN,640,15
13328,47342,GASTON,IN,640,15
13329,47345,GREENS FORK,IN,1209,30
13330,47346,HAGERSTOWN,IN,8596,125
13331,47348,HARTFORD CITY,IN,12516,205
13332,47351,KENNARD,IN,585,15
13333,47353,LIBERTY,IN,8264,100
13334,47355,LYNN,IN,630,15
13335,47356,MIDDLETOWN,IN,1767,60
13336,47358,MODOC,IN,4995,10
13337,47359,MONTPELIER,IN,1759,75
13338,47360,MOORELAND,IN,640,15
13339,47361,MOUNT SUMMIT,IN,640,15
13340,47362,NEW CASTLE,IN,17545,625
13341,47368,PARKER CITY,IN,9626,45
13342,47369,PENNVILLE,IN,630,15
13343,47371,PORTLAND,IN,11331,340
13344,47373,REDKEY,IN,4995,10
13345,47374,RICHMOND,IN,27858,1700
13346,47383,SELMA,IN,6203,40
13347,47384,SHIRLEY,IN,5623,25
13348,47385,SPICELAND,IN,6875,65
13349,47388,SULPHUR SPRINGS,IN,640,15
13350,47390,UNION CITY,IN,3076,150
13351,47394,WINCHESTER,IN,13299,300
13352,47396,YORKTOWN,IN,8571,95
13353,47401,BLOOMINGTON,IN,24384,1600
13354,47402,BLOOMINGTON,IN,2191,60
13355,47403,BLOOMINGTON,IN,11023,295
13356,47404,BLOOMINGTON,IN,26511,1810
13357,47405,BLOOMINGTON,IN,1955,105
13358,47406,BLOOMINGTON,IN,7572,410
13359,47408,BLOOMINGTON,IN,13082,895
13360,47421,BEDFORD,IN,17909,755
13361,47424,BLOOMFIELD,IN,8913,160
13362,47429,ELLETTSVILLE,IN,1682,45
13363,47432,FRENCH LICK,IN,12607,205
13364,47433,GOSPORT,IN,4995,10
13365,47438,JASONVILLE,IN,6978,85
13366,47441,LINTON,IN,10442,375
13367,47443,LYONS,IN,640,15
13368,47446,MITCHELL,IN,9644,165
13369,47448,NASHVILLE,IN,16083,445
13370,47449,NEWBERRY,IN,4995,10
13371,47452,ORLEANS,IN,6281,40
13372,47454,PAOLI,IN,12884,260
13373,47459,SOLSBERRY,IN,6203,40
13374,47460,SPENCER,IN,12716,245
13375,47465,SWITZ CITY,IN,585,15
13376,47468,UNIONVILLE,IN,630,15
13377,47469,WEST BADEN SPRINGS,IN,6660,35
13378,47470,WILLIAMS,IN,630,15
13379,47471,WORTHINGTON,IN,6236,40
13380,47501,WASHINGTON,IN,12161,645
13381,47512,BICKNELL,IN,2360,105
13382,47513,BIRDSEYE,IN,6124,70
13383,47514,BRANCHVILLE,IN,675,15
13384,47516,BRUCEVILLE,IN,1212,30
13385,47520,CANNELTON,IN,8073,110
13386,47521,CELESTINE,IN,670,15
13387,47522,CRANE,IN,5623,25
13388,47523,DALE,IN,3453,105
13389,47524,DECKER,IN,630,15
13390,47525,DERBY,IN,1134,30
13391,47527,DUBOIS,IN,1285,45
13392,47529,ELNORA,IN,585,15
13393,47532,FERDINAND,IN,8640,125
13394,47541,HOLLAND,IN,4995,10
13395,47542,HUNTINGBURG,IN,10116,270
13396,47546,JASPER,IN,17244,880
13397,47550,LAMAR,IN,630,15
13398,47551,LEOPOLD,IN,670,15
13399,47552,LINCOLN CITY,IN,585,15
13400,47553,LOOGOOTEE,IN,11100,250
